,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Berlin,Berlin,LOC,0.36757014,0.03328578,de,70.10000000,4005728-8,2950157,X,52.50000000,13.41666900,EUROPE,Germany,WCE
Bayern,Bayern,LOC,-0.14754098,0.07923497,de,61.00000000,4005044-0,2951839,X,49.00000000,11.50000000,EUROPE,Germany,WCE
Deutschland,Deutschland,LOC,0.04309851,0.01288660,de,58.20000000,4011882-4,2921044,X,51.50000000,10.50000000,EUROPE,Germany,WCE
Brandenburg,Brandenburg,LOC,0.28973035,0.05737235,de,58.10000000,4007955-7,2945356,X,52.50000000,13.50000000,EUROPE,Germany,WCE
Hessen,Hessen,LOC,-0.09083728,0.01382306,de,42.20000000,4024729-6,2905330,X,50.50000000,9.25000000,EUROPE,Germany,WCE
Glatteis,Glatteis,LOC,0.15014577,0.00000000,de,34.30000000,,-1,,,,,,
Deutschlands,Deutschlands,LOC,-0.23662551,0.04629630,de,32.40000000,,-1,,,,,,
Alpen,Alpen,LOC,-0.00131857,0.15031646,de,31.60000000,,-1,,,,,,
Mount Everest,Mount Everest,LOC,0.01250000,0.00000000,de,24.00000000,,-1,,,,,,
Hamburg,Hamburg,LOC,-0.03517588,0.00000000,de,19.90000000,4023118-5,2911297,X,53.58332900,10.00000000,EUROPE,Germany,NEU
Erzgebirge,Erzgebirge,LOC,-0.12179487,0.08241758,de,18.20000000,,-1,,,,,,
Baden-Württemberg,Baden-Württemberg,LOC,-0.13872549,0.17647059,de,17.00000000,4004176-1,2953481,X,48.50000000,9.00000000,EUROPE,Germany,WCE
Sachsen,Sachsen,LOC,-0.06962025,0.06329114,de,15.80000000,4051176-5,2842566,X,51.00000000,13.25000000,EUROPE,Germany,WCE
Schnee,Schnee,LOC,-0.01935484,0.00000000,de,15.50000000,,-1,,,,,,
Thüringen,Thüringen,LOC,-0.07382550,0.00000000,de,14.90000000,4059979-6,2822542,X,50.91667000,11.00000000,EUROPE,Germany,WCE
Niedersachsen,Niedersachsen,LOC,0.22831050,0.15981735,de,14.60000000,4042226-4,2862926,X,52.00000000,10.00000000,EUROPE,Germany,WCE
Offenbach,Offenbach,LOC,-0.21875000,0.07812500,de,12.80000000,,-1,,,,,,
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.07758621,0.00000000,de,11.60000000,4049795-1,2847618,X,49.66667000,7.50000000,EUROPE,Germany,WCE
Sölden,Sölden,LOC,0.17857143,0.00000000,de,11.20000000,4208193-2,2764957,X,46.96667000,11.00000000,EUROPE,Austria,WCE
Berlins,Berlins,LOC,0.25688073,0.00000000,de,10.90000000,,-1,,,,,,
NRW,NRW,LOC,0.03926282,0.00000000,de,10.40000000,,-1,,,,,,
Streusalz,Streusalz,LOC,0.02941176,0.19607843,de,10.20000000,,-1,,,,,,
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.30033003,0.00000000,de,10.10000000,4042570-8,2861876,X,51.21894900,6.76339000,EUROPE,Germany,WCE
Céüze,Céüze,LOC,-0.16071429,0.28061224,de,9.80000000,,-1,,,,,,
Saarland,Saarland,LOC,0.16326531,0.00000000,de,9.80000000,4076919-7,2842635,X,49.40471900,6.96082900,EUROPE,Germany,WCE
…,…,LOC,-0.07291667,0.03472222,de,9.60000000,,-1,,,,,,
Bergen,Bergen,LOC,-0.04210526,0.00000000,de,9.50000000,,-1,,,,,,
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.04347826,0.00000000,de,9.20000000,4051181-9,2842565,X,51.91667000,11.50000000,EUROPE,Germany,WCE
Sauerland,Sauerland,LOC,-0.15384615,0.00000000,de,9.10000000,,-1,,,,,,
Sachsens,Sachsens,LOC,0.07692308,0.00000000,de,9.10000000,,-1,,,,,,
Schleswig-Holstein,Schleswig-Holstein,LOC,-0.04216867,0.18072289,de,8.30000000,4052692-6,2838632,X,54.00000000,10.50000000,EUROPE,Germany,NEU
Mittelgebirgen,Mittelgebirgen,LOC,0.00000000,0.00000000,de,8.20000000,,-1,,,,,,
Bremen,Bremen,LOC,0.27631579,0.00000000,de,7.60000000,4008135-7,2944387,X,53.08332900,8.83333000,EUROPE,Germany,NEU
“,“,LOC,0.00000000,0.00000000,de,7.40000000,,-1,,,,,,
Bayerns,Bayerns,LOC,0.20202020,0.10101010,de,6.60000000,,-1,,,,,,
Warnungen,Warnungen,LOC,0.00000000,0.00000000,de,6.40000000,,-1,,,,,,
Regen,Regen,LOC,-0.06557377,0.00000000,de,6.10000000,,-1,,,,,,
Ludwigsburg,Ludwigsburg,LOC,-0.23333333,0.00000000,de,6.00000000,4036469-0,2875392,X,48.89730900,9.19161000,EUROPE,Germany,WCE
Schneesturm,Schneesturm,LOC,0.00000000,0.00000000,de,6.00000000,,-1,,,,,,
Österreich,Österreich,LOC,0.84745763,0.16949153,de,5.90000000,4043271-3,2782113,X,47.33332900,13.33333000,EUROPE,Austria,WCE
Allgäu,Allgäu,LOC,0.00000000,0.00000000,de,5.60000000,,-1,,,,,,
München,München,LOC,0.11904762,0.05952381,de,5.60000000,4127793-4,2867714,X,48.13722200,11.57527700,EUROPE,Germany,WCE
Mittelgebirge,Mittelgebirge,LOC,0.12727273,0.00000000,de,5.50000000,,-1,,,,,,
Schneetreiben,Schneetreiben,LOC,0.38181818,0.00000000,de,5.50000000,,-1,,,,,,
Ibiza,Ibiza,LOC,-0.06363636,0.57575758,de,5.50000000,,-1,,,,,,
Wintereinbruch,Wintereinbruch,LOC,0.50909091,0.00000000,de,5.50000000,,-1,,,,,,
Harz,Harz,LOC,-0.05454545,0.00000000,de,5.50000000,,-1,,,,,,
Unfälle,Unfälle,LOC,0.00000000,0.00000000,de,5.50000000,,-1,,,,,,
Wasserkuppe,Wasserkuppe,LOC,-0.16363636,0.09090909,de,5.50000000,,-1,,,,,,
Schüssen,Schüssen,LOC,-0.14000000,0.00000000,de,5.00000000,,-1,,,,,,
lsw,lsw,LOC,0.13541667,0.00000000,de,4.80000000,,-1,,,,,,
Feldberg,Feldberg,LOC,-0.39361702,0.63829787,de,4.70000000,,-1,,,,,,
Nässe,Nässe,LOC,0.21739130,0.00000000,de,4.60000000,,-1,,,,,,
Stuttgart,Stuttgart,LOC,0.07608696,0.00000000,de,4.60000000,4058282-6,2825297,X,48.78222200,9.17694400,EUROPE,Germany,WCE
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.00000000,0.00000000,de,4.60000000,4242861-0,2872567,X,53.50000000,12.50000000,EUROPE,Germany,WCE
Stadt,Stadt,LOC,-0.57608696,0.10869565,de,4.60000000,,-1,,,,,,
Morgenstunden,Morgenstunden,LOC,0.00000000,0.00000000,de,4.60000000,,-1,,,,,,
Oberpfalz,Oberpfalz,LOC,0.15217391,0.00000000,de,4.60000000,,-1,,,,,,
USA,USA,LOC,0.07608696,0.10869565,de,4.60000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Freistaat,Freistaat,LOC,0.45652174,0.00000000,de,4.60000000,,-1,,,,,,
Schneeschauer,Schneeschauer,LOC,0.21739130,0.00000000,de,4.60000000,,-1,,,,,,
Hessens,Hessens,LOC,-0.15217391,0.00000000,de,4.60000000,,-1,,,,,,
Schneeregen,Schneeregen,LOC,0.00000000,0.00000000,de,4.60000000,,-1,,,,,,
Osthangs,Osthangs,LOC,0.00000000,0.00000000,de,4.00000000,,-1,,,,,,
Landes,Landes,LOC,-1.05000000,0.00000000,de,4.00000000,,-1,,,,,,
Tibet,Tibet,LOC,-0.25000000,0.00000000,de,4.00000000,,-1,,,,,,
Himalaya-Region,Himalaya-Region,LOC,0.00000000,0.00000000,de,4.00000000,,-1,,,,,,
Mitteldeutschland,Mitteldeutschland,LOC,0.25641026,0.51282051,de,3.90000000,,-1,,,,,,
Kaltfront,Kaltfront,LOC,-0.08974359,0.12820513,de,3.90000000,,-1,,,,,,
China,China,LOC,0.92105263,0.00000000,de,3.80000000,4009937-4,1814991,X,35.00000000,105.00000000,ASIA,China,EAS
Temperaturen,Temperaturen,LOC,-0.30263158,0.26315789,de,3.80000000,,-1,,,,,,
Himalaya,Himalaya,LOC,0.52631579,0.00000000,de,3.80000000,,-1,,,,,,
Wochenmitte,Wochenmitte,LOC,0.41891892,0.00000000,de,3.70000000,,-1,,,,,,
Erfurt,Erfurt,LOC,-0.18918919,0.00000000,de,3.70000000,4015240-6,2929670,X,50.97861100,11.03277700,EUROPE,Germany,WCE
Tirol,Tirol,LOC,0.37837838,0.00000000,de,3.70000000,4060207-2,2763586,X,47.25000000,11.33333000,EUROPE,Austria,WCE
Willingen,Willingen,LOC,0.08108108,0.00000000,de,3.70000000,7611371-1,2862720,X,50.77270000,11.03674900,EUROPE,Germany,WCE
Sonne am Tag,Sonne am Tag,LOC,0.00000000,0.00000000,de,3.70000000,,-1,,,,,,
Autobahn 93,Autobahn 93,LOC,0.00000000,0.00000000,de,3.70000000,,-1,,,,,,
A1,A1,LOC,-0.37837838,0.00000000,de,3.70000000,,-1,,,,,,
Europa,Europa,LOC,1.08108108,0.00000000,de,3.70000000,4015701-5,6255148,X,48.69095900,9.14062000,EUROPE,Germany,WCE
Lausitz,Lausitz,LOC,-0.18918919,0.00000000,de,3.70000000,,-1,,,,,,
Erbeskopf,Erbeskopf,LOC,0.00000000,0.00000000,de,3.70000000,,-1,,,,,,
Sturmböen,Sturmböen,LOC,-0.31250000,0.00000000,de,3.20000000,,-1,,,,,,
Italien,Italien,LOC,0.22580645,0.00000000,de,3.10000000,4027833-5,3175395,X,42.83332900,12.83333000,EUROPE-AFRICA,Italy,MED
Hochkönig,Hochkönig,LOC,0.00000000,0.33333333,de,3.00000000,,-1,,,,,,
Westchinas,Westchinas,LOC,-0.23333333,0.00000000,de,3.00000000,,-1,,,,,,
Razzia,Razzia,LOC,0.00000000,0.00000000,de,3.00000000,,-1,,,,,,
Olympiapark,Olympiapark,LOC,0.23333333,0.00000000,de,3.00000000,,-1,,,,,,
Anmarsch,Anmarsch,LOC,0.00000000,0.00000000,de,3.00000000,,-1,,,,,,
Ukraine,Ukraine,LOC,-0.66666667,0.00000000,de,3.00000000,4061496-7,690791,X,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Russland,Russland,LOC,-0.66666667,0.00000000,de,3.00000000,4076899-5,2017370,X,60.00000000,100.00000000,ASIA,Russia,ESB
Alpenrand,Alpenrand,LOC,0.00000000,0.00000000,de,2.90000000,,-1,,,,,,
Spätherbst,Spätherbst,LOC,0.00000000,0.00000000,de,2.90000000,,-1,,,,,,
Nebel,Nebel,LOC,-0.36206897,0.17241379,de,2.90000000,,-1,,,,,,
Meteorologen,Meteorologen,LOC,-0.25000000,0.35714286,de,2.80000000,,-1,,,,,,
lrs,lrs,LOC,-0.25000000,0.00000000,de,2.80000000,,-1,,,,,,
Schwarzwald,Schwarzwald,LOC,0.00000000,0.71428571,de,2.80000000,,-1,,,,,,
Thüringer Wald,Thüringer Wald,LOC,0.50000000,0.00000000,de,2.80000000,,-1,,,,,,
Florida,Florida,LOC,-0.35714286,0.00000000,de,2.80000000,4017585-6,4155751,X,28.75054000,-82.50010000,NORTH-AMERICA,United States,ENA
Hochschwarzwald,Hochschwarzwald,LOC,0.25000000,0.00000000,de,2.80000000,,-1,,,,,,
Skigebiete,Skigebiete,LOC,0.50000000,0.00000000,de,2.80000000,,-1,,,,,,
Mittelhessen,Mittelhessen,LOC,-0.25000000,0.00000000,de,2.80000000,,-1,,,,,,
Schneeflocken,Schneeflocken,LOC,-0.50000000,0.00000000,de,2.80000000,,-1,,,,,,
Flughafen München,Flughafen München,LOC,0.00000000,0.35714286,de,2.80000000,,-1,,,,,,
Emsland,Emsland,LOC,-0.25000000,0.00000000,de,2.80000000,,-1,,,,,,
Salzburg,Salzburg,LOC,0.50000000,0.00000000,de,2.80000000,4076982-3,2766824,X,47.79916600,13.04388800,EUROPE,Austria,WCE
Verkehrsbehinderungen,Verkehrsbehinderungen,LOC,0.60714286,0.00000000,de,2.80000000,,-1,,,,,,
Flughafen,Flughafen,LOC,-0.53571429,0.53571429,de,2.80000000,,-1,,,,,,
Oder,Oder,LOC,0.00000000,0.00000000,de,2.80000000,,-1,,,,,,
Maxhütte-Haidhof,Maxhütte-Haidhof,LOC,0.00000000,0.00000000,de,2.80000000,4038071-3,2872670,X,49.19962900,12.09229000,EUROPE,Germany,WCE
Frost,Frost,LOC,0.00000000,0.00000000,de,2.80000000,,-1,,,,,,
lhe,lhe,LOC,0.00000000,0.35714286,de,2.80000000,,-1,,,,,,
Glättegefahr,Glättegefahr,LOC,0.00000000,0.00000000,de,2.80000000,,-1,,,,,,
Nepal,Nepal,LOC,-0.25000000,0.00000000,de,2.80000000,4041612-4,1282988,X,28.00000000,84.00000000,ASIA,Nepal,TIB
Arlberg,Arlberg,LOC,0.10714286,0.00000000,de,2.80000000,,-1,,,,,,
