,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
"Link
","Link
",MISC,,,de,70,,,,,,
“,“,MISC,0.4833333333333332,1.8333333333333333,de,58,,,,,,
Wetter“,Wetter“,MISC,,,de,23,,,,,,
Schweizer,Schweizer,MISC,,,de,17,,,,,,
Wetterbericht“,Wetterbericht“,MISC,,,de,6,,,,,,
Zeit,Zeit,MISC,,,de,4,,,,,,
Novembe…,Novembe…,MISC,,,de,4,,,,,,
französischen,französischen,MISC,,,de,4,,,,,,
Skisaison,Skisaison,MISC,,,de,4,,,,,,
französische,französische,MISC,,,de,4,,,,,,
Münchner,Münchner,MISC,,,de,4,,,,,,
Ballermann-Saison,Ballermann-Saison,MISC,,,de,4,,,,,,
Graue Tage,Graue Tage,MISC,,,de,3,,,,,,
Sturm und Schnee,Sturm und Schnee,MISC,,,de,3,,,,,,
Joshua“,Joshua“,MISC,,,de,3,,,,,,
ungemütliches,ungemütliches,MISC,,,de,3,,,,,,
Milder Herbst – Sonne und Wolken,Milder Herbst – Sonne und Wolken,MISC,,,de,3,,,,,,
deutschen,deutschen,MISC,,,de,3,,,,,,
Deutscher,Deutscher,MISC,,,de,3,,,,,,
Kaltfront,Kaltfront,MISC,-0.35,0.0,de,3,,,,,,
Anschluss,Anschluss,MISC,,,de,3,,,,,,
Wettervorhersage“,Wettervorhersage“,MISC,,,de,3,,,,,,
Gletsc…,Gletsc…,MISC,,,de,3,,,,,,
Der Herbst,Der Herbst,MISC,,,de,2,,,,,,
stern,stern,MISC,,,de,2,,,,,,
Deutschem,Deutschem,MISC,,,de,2,,,,,,
DEFA-Klassikers,DEFA-Klassikers,MISC,,,de,2,,,,,,
Ski-Weltverband FIS,Ski-Weltverband FIS,MISC,,,de,2,,,,,,
Französisches,Französisches,MISC,,,de,2,,,,,,
ChatGPT,ChatGPT,MISC,,,de,2,,,,,,
TUI-Chef,TUI-Chef,MISC,,,de,2,,,,,,
GEO,GEO,MISC,,,de,2,,,,,,
Domains,Domains,MISC,,,de,2,,,,,,
Weihnachtszeit,Weihnachtszeit,MISC,,,de,2,,,,,,
Wetteraussichten“,Wetteraussichten“,MISC,,,de,2,,,,,,
Freundliches Wetter,Freundliches Wetter,MISC,,,de,2,,,,,,
Nebel auf der Straße,Nebel auf der Straße,MISC,,,de,2,,,,,,
Sonne und Wolken,Sonne und Wolken,MISC,,,de,2,,,,,,
Olympischen Winterspiele,Olympischen Winterspiele,MISC,,,de,2,,,,,,
Ballermann,Ballermann,MISC,0.7,0.0,de,2,,,,,,
Starker Wind,Starker Wind,MISC,,,de,2,,,,,,
amerikanische,amerikanische,MISC,,,de,2,,,,,,
Loop One Festival,Loop One Festival,MISC,,,de,2,,,,,,
Deutschen,Deutschen,MISC,,,de,2,,,,,,
glei­cher taun,glei­cher taun,MISC,,,de,2,,,,,,
chinesischen,chinesischen,MISC,,,de,2,,,,,,
Prime-Versand,Prime-Versand,MISC,,,de,2,,,,,,
Amazon,Amazon,MISC,,,de,2,,,,,,
Ski-Saison,Ski-Saison,MISC,,,de,2,,,,,,
Winterdienst-Saison,Winterdienst-Saison,MISC,,,de,2,,,,,,
Wetter in Bayern“,Wetter in Bayern“,MISC,,,de,2,,,,,,
Freitagnachmittag bei Schwarzenberg,Freitagnachmittag bei Schwarzenberg,MISC,,,de,2,,,,,,
Schulen“,Schulen“,MISC,,,de,2,,,,,,
Urlaubs-Express,Urlaubs-Express,MISC,,,de,2,,,,,,
D…,D…,MISC,,,de,2,,,,,,
Corona-Zeit,Corona-Zeit,MISC,,,de,2,,,,,,
Kriegsbeginn,Kriegsbeginn,MISC,,,de,2,,,,,,
Schnee- und Wintersport-Fans,Schnee- und Wintersport-Fans,MISC,,,de,2,,,,,,
Das Verschwinden des Josef Mengele,Das Verschwinden des Josef Mengele,MISC,,,de,2,,,,,,
NZZ,NZZ,MISC,,,de,2,,,,,,
Internationale Investoren,Internationale Investoren,MISC,,,de,2,,,,,,
Englisch,Englisch,MISC,,,de,2,,,,,,
Agrar“,Agrar“,MISC,,,de,1,,,,,,
Niedersachsen,Niedersachsen,MISC,-0.031818181818181815,0.045454545454545456,de,1,,,,,,
Naturfotografie im Winter,Naturfotografie im Winter,MISC,,,de,1,,,,,,
zuer…,zuer…,MISC,,,de,1,,,,,,
Hintergrun…,Hintergrun…,MISC,,,de,1,,,,,,
Resident Evil,Resident Evil,MISC,,,de,1,,,,,,
TTS Player,TTS Player,MISC,,,de,1,,,,,,
Heliko…,Heliko…,MISC,,,de,1,,,,,,
Schneefall“,Schneefall“,MISC,,,de,1,,,,,,
Schwarz glänzt,Schwarz glänzt,MISC,,,de,1,,,,,,
Weltcup-Saison,Weltcup-Saison,MISC,,,de,1,,,,,,
Kärntner,Kärntner,MISC,0.0,0.0,de,1,,,,,,
Ski-Weltcup,Ski-Weltcup,MISC,,,de,1,,,,,,
Erster Schnee,Erster Schnee,MISC,,,de,1,,,,,,
Kurzes Intermezzo,Kurzes Intermezzo,MISC,,,de,1,,,,,,
Der erste Schnee,Der erste Schnee,MISC,,,de,1,,,,,,
DWD-Prognose,DWD-Prognose,MISC,,,de,1,,,,,,
Dicke Brühe,Dicke Brühe,MISC,,,de,1,,,,,,
P…,P…,MISC,,,de,1,,,,,,
Straßenmeister…,Straßenmeister…,MISC,,,de,1,,,,,,
Partyschlager“,Partyschlager“,MISC,,,de,1,,,,,,
Weiße Einfahrt,Weiße Einfahrt,MISC,,,de,1,,,,,,
Kölner,Kölner,MISC,,,de,1,,,,,,
Anbieters Train4you Realität,Anbieters Train4you Realität,MISC,,,de,1,,,,,,
UEX,UEX,MISC,,,de,1,,,,,,
Silent Hill,Silent Hill,MISC,,,de,1,,,,,,
Bewölkun…,Bewölkun…,MISC,,,de,1,,,,,,
Survival-Horror à la Resident Evil,Survival-Horror à la Resident Evil,MISC,,,de,1,,,,,,
deutsche,deutsche,MISC,,,de,1,,,,,,
Berliner,Berliner,MISC,,,de,1,,,,,,
Instagram,Instagram,MISC,,,de,1,,,,,,
Schlagerstar Vanessa Mai,Schlagerstar Vanessa Mai,MISC,,,de,1,,,,,,
Pr…,Pr…,MISC,,,de,1,,,,,,
W…,W…,MISC,,,de,1,,,,,,
Anzeige*Winter is coming,Anzeige*Winter is coming,MISC,,,de,1,,,,,,
Lidl.de,Lidl.de,MISC,,,de,1,,,,,,
Discountfans,Discountfans,MISC,,,de,1,,,,,,
Sachsen,Sachsen,MISC,0.0,0.0,de,1,,,,,,
Verkehr“,Verkehr“,MISC,,,de,1,,,,,,
"Viennale 2024

 

 
 




 
 ","Viennale 2024

 

 
 




 
 ",MISC,,,de,1,,,,,,
Die Leerstelle,Die Leerstelle,MISC,,,de,1,,,,,,
I’m Still Here“&nbsp;wiegt,I’m Still Here“&nbsp;wiegt,MISC,,,de,1,,,,,,
Straßenverkehr“,Straßenverkehr“,MISC,,,de,1,,,,,,
Frühlingshafte Temperaturen,Frühlingshafte Temperaturen,MISC,,,de,1,,,,,,
Winterurlaub,Winterurlaub,MISC,0.0,1.0,de,1,,,,,,
Luxus für Reiche,Luxus für Reiche,MISC,,,de,1,,,,,,
US-amerikanische,US-amerikanische,MISC,,,de,1,,,,,,
Flix mi…,Flix mi…,MISC,,,de,1,,,,,,
Frost-Einbruch,Frost-Einbruch,MISC,,,de,1,,,,,,
Alpen-Gemeinde,Alpen-Gemeinde,MISC,,,de,1,,,,,,
Einbruch der Dunkelheit am Mittwochabend,Einbruch der Dunkelheit am Mittwochabend,MISC,,,de,1,,,,,,
g…,g…,MISC,,,de,1,,,,,,
Rabatt,Rabatt,MISC,,,de,1,,,,,,
Deutschem…,Deutschem…,MISC,,,de,1,,,,,,
b...,b...,MISC,,,de,1,,,,,,
Start g,Start g,MISC,,,de,1,,,,,,
Wintergemüse“,Wintergemüse“,MISC,,,de,1,,,,,,
Grünkohl,Grünkohl,MISC,,,de,1,,,,,,
Die Grünkohlernte,Die Grünkohlernte,MISC,,,de,1,,,,,,
Winterdienst-Saiso…,Winterdienst-Saiso…,MISC,,,de,1,,,,,,
Sonniger Start,Sonniger Start,MISC,,,de,1,,,,,,
mei…,mei…,MISC,,,de,1,,,,,,
Kaltfront“,Kaltfront“,MISC,,,de,1,,,,,,
Deutsche,Deutsche,MISC,,,de,1,,,,,,
Actionspi…,Actionspi…,MISC,,,de,1,,,,,,
Herbst bringt Sonne,Herbst bringt Sonne,MISC,,,de,1,,,,,,
Wintergemüses,Wintergemüses,MISC,,,de,1,,,,,,
Die erste Novemberwoche,Die erste Novemberwoche,MISC,,,de,1,,,,,,
Nächtlicher Frost,Nächtlicher Frost,MISC,,,de,1,,,,,,
Weihnachten,Weihnachten,MISC,,,de,1,,,,,,
Hundertjährige Kalender,Hundertjährige Kalender,MISC,,,de,1,,,,,,
Kurier,Kurier,MISC,,,de,1,,,,,,
Wi…,Wi…,MISC,,,de,1,,,,,,
europäischen,europäischen,MISC,,,de,1,,,,,,
Prognose“,Prognose“,MISC,,,de,1,,,,,,
Heim-Sieg,Heim-Sieg,MISC,,,de,1,,,,,,
Wind und Regen,Wind und Regen,MISC,,,de,1,,,,,,
Gesamtweltcups…,Gesamtweltcups…,MISC,,,de,1,,,,,,
Wechselnde bis starke,Wechselnde bis starke,MISC,,,de,1,,,,,,
Ein Adventskalender,Ein Adventskalender,MISC,,,de,1,,,,,,
Drei Haselnüss,Drei Haselnüss,MISC,,,de,1,,,,,,
Winter-Vorbereitungen,Winter-Vorbereitungen,MISC,,,de,1,,,,,,
Wintertourismus“,Wintertourismus“,MISC,,,de,1,,,,,,
Tag,Tag,MISC,0.0,0.0,de,1,,,,,,
Vorja…,Vorja…,MISC,,,de,1,,,,,,
Alice,Alice,MISC,,,de,1,,,,,,
DDR-Weihnachtsfilms,DDR-Weihnachtsfilms,MISC,,,de,1,,,,,,
Grau und Nieselregen,Grau und Nieselregen,MISC,,,de,1,,,,,,
IndexWatch Q3 2025,IndexWatch Q3 2025,MISC,,,de,1,,,,,,
Sichtbarkeits-Gewinner & -Verlierer,Sichtbarkeits-Gewinner & -Verlierer,MISC,,,de,1,,,,,,
KI Sys…,KI Sys…,MISC,,,de,1,,,,,,
Der Winter naht,Der Winter naht,MISC,,,de,1,,,,,,
Gefahr von Schnee und Eisglätte,Gefahr von Schnee und Eisglätte,MISC,,,de,1,,,,,,
Trüb,Trüb,MISC,,,de,1,,,,,,
…,…,MISC,0.0,0.0,de,1,,,,,,
Wochenende“,Wochenende“,MISC,,,de,1,,,,,,
Temper…,Temper…,MISC,,,de,1,,,,,,
Wetter-Mix“,Wetter-Mix“,MISC,,,de,1,,,,,,
NRW-Wetter,NRW-Wetter,MISC,,,de,1,,,,,,
nächsten Tagen,nächsten Tagen,MISC,,,de,1,,,,,,
Aschenbrödel“,Aschenbrödel“,MISC,,,de,1,,,,,,
Euro,Euro,MISC,,,de,1,,,,,,
Skisaison 2025/26,Skisaison 2025/26,MISC,,,de,1,,,,,,
stern+statt,stern+statt,MISC,,,de,1,,,,,,
All zurückges…,All zurückges…,MISC,,,de,1,,,,,,
Klimawandel“,Klimawandel“,MISC,,,de,1,,,,,,
minus 1 Grad,minus 1 Grad,MISC,,,de,1,,,,,,
steirischen,steirischen,MISC,,,de,1,,,,,,
"Wind, Regen","Wind, Regen",MISC,,,de,1,,,,,,
Dramatische Rettung,Dramatische Rettung,MISC,,,de,1,,,,,,
Schneesturm auf Mount Everest,Schneesturm auf Mount Everest,MISC,,,de,1,,,,,,
Everest-Region,Everest-Region,MISC,,,de,1,,,,,,
Videos,Videos,MISC,,,de,1,,,,,,
stern+,stern+,MISC,,,de,1,,,,,,
Tour nieselte,Tour nieselte,MISC,,,de,1,,,,,,
Capital</li><li>4,Capital</li><li>4,MISC,,,de,1,,,,,,
Gesamtzahl der Betroffenen,Gesamtzahl der Betroffenen,MISC,,,de,1,,,,,,
CCTV,CCTV,MISC,,,de,1,,,,,,
Schnee und eisiger Sturm,Schnee und eisiger Sturm,MISC,,,de,1,,,,,,
Schneesturm“,Schneesturm“,MISC,,,de,1,,,,,,
Todesfall,Todesfall,MISC,,,de,1,,,,,,
Todesfall überschat…,Todesfall überschat…,MISC,,,de,1,,,,,,
Preisanpassungen,Preisanpassungen,MISC,,,de,1,,,,,,
Deutsche Weinbauern,Deutsche Weinbauern,MISC,,,de,1,,,,,,
Am Wochenende,Am Wochenende,MISC,,,de,1,,,,,,
Wechselnde bis starke …,Wechselnde bis starke …,MISC,,,de,1,,,,,,
deutsches,deutsches,MISC,,,de,1,,,,,,
Wolken“,Wolken“,MISC,,,de,1,,,,,,
Kalte Front,Kalte Front,MISC,,,de,1,,,,,,
Schnee“,Schnee“,MISC,,,de,1,,,,,,
Der Wind,Der Wind,MISC,,,de,1,,,,,,
Der Wind und,Der Wind und,MISC,,,de,1,,,,,,
DOK-FILM,DOK-FILM,MISC,,,de,1,,,,,,
NZZ FORMAT,NZZ FORMAT,MISC,,,de,1,,,,,,
besond…,besond…,MISC,,,de,1,,,,,,
Erdalbedo-Effekt,Erdalbedo-Effekt,MISC,,,de,1,,,,,,
Ba…,Ba…,MISC,,,de,1,,,,,,
Hause aus bald,Hause aus bald,MISC,,,de,1,,,,,,
Reform“,Reform“,MISC,,,de,1,,,,,,
Deutsch…,Deutsch…,MISC,0.0,0.0,de,1,,,,,,
Karpfenzucht“,Karpfenzucht“,MISC,,,de,1,,,,,,
Festliches Abfischen,Festliches Abfischen,MISC,,,de,1,,,,,,
Winter-Vorherrschaft,Winter-Vorherrschaft,MISC,,,de,1,,,,,,
The Secret,The Secret,MISC,,,de,1,,,,,,
Zahlungsabwicklung,Zahlungsabwicklung,MISC,,,de,1,,,,,,
Wochenstar…,Wochenstar…,MISC,,,de,1,,,,,,
Grad herrs…,Grad herrs…,MISC,,,de,1,,,,,,
O…,O…,MISC,,,de,1,,,,,,
Top Ten,Top Ten,MISC,,,de,1,,,,,,
näc…,näc…,MISC,,,de,1,,,,,,
Skigebiete …,Skigebiete …,MISC,,,de,1,,,,,,
Sturm ,Sturm ,MISC,,,de,1,,,,,,
Das große Skigebiet Feldberg im Hochschwarzwald,Das große Skigebiet Feldberg im Hochschwarzwald,MISC,,,de,1,,,,,,
Wintervorbereitungen“,Wintervorbereitungen“,MISC,,,de,1,,,,,,
GARDENA,GARDENA,MISC,,,de,1,,,,,,
Winter-Gäste,Winter-Gäste,MISC,,,de,1,,,,,,
Gr…,Gr…,MISC,,,de,1,,,,,,
Biathlon-Show,Biathlon-Show,MISC,,,de,1,,,,,,
morgenspaziergang 20.10.2025,morgenspaziergang 20.10.2025,MISC,,,de,1,,,,,,
ge­pos­tet.am,ge­pos­tet.am,MISC,,,de,1,,,,,,
wars,wars,MISC,,,de,1,,,,,,
mor­gen wars,mor­gen wars,MISC,,,de,1,,,,,,
Wintersportsaison,Wintersportsaison,MISC,,,de,1,,,,,,
Wetterausblick“,Wetterausblick“,MISC,,,de,1,,,,,,
Der goldene Herbst,Der goldene Herbst,MISC,,,de,1,,,,,,
österreichischen,österreichischen,MISC,,,de,1,,,,,,
a…,a…,MISC,,,de,1,,,,,,
KitzSki,KitzSki,MISC,,,de,1,,,,,,
Oller Oktober,Oller Oktober,MISC,,,de,1,,,,,,
Bomben-Zyklon,Bomben-Zyklon,MISC,,,de,1,,,,,,
