,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
DWD,DWD,ORG,-0.07424242424242426,0.14393939393939392,de,44,,,,,,
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.2597222222222222,0.09722222222222222,de,36,,,,,,
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,-0.04375,0.0625,de,16,,,,,,
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,0.0875,0.25,de,8,,,,,,
lby,lby,ORG,-0.11666666666666665,0.0,de,6,,,,,,
Bodenfrost,Bodenfrost,ORG,0.0,0.0,de,5,,,,,,
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,-0.3133333333333333,0.06666666666666667,de,5,,,,,,
Liveticker Hessen & Frankfurt,Liveticker Hessen & Frankfurt,ORG,-0.25,0.0,de,4,,,,,,
Deutsche Wetterdienst …,Deutsche Wetterdienst …,ORG,0.0,0.0,de,3,,,,,,
ARC Raiders,ARC Raiders,ORG,0.5666666666666667,0.0,de,3,,,,,,
+++ Mann,+++ Mann,ORG,-0.16666666666666666,0.0,de,2,,,,,,
Königsberg-Hollenstein Skilifte GmbH,Königsberg-Hollenstein Skilifte GmbH,ORG,0.0,0.0,de,2,,,,,,
Leica Galerie Düsseldorf,Leica Galerie Düsseldorf,ORG,0.0,0.0,de,2,,,,,,
ARD,ARD,ORG,0.0,0.0,de,2,,,,,,
TUI,TUI,ORG,0.0,0.0,de,2,,,,,,
Deutschen Wetterdiensts,Deutschen Wetterdiensts,ORG,0.35,0.0,de,2,,,,,,
f…,f…,ORG,0.0,0.0,de,2,,,,,,
ZDF,ZDF,ORG,0.0,0.0,de,2,,,,,,
München,München,ORG,0.0,0.0,de,2,,,,,,
Auto,Auto,ORG,1.0,0.0,de,2,,,,,,
Autoba…,Autoba…,ORG,0.0,0.0,de,2,,,,,,
GARDENA,GARDENA,ORG,0.27499999999999997,0.0,de,2,,,,,,
Waldbrunn-Hausen +++ Jugendlicher,Waldbrunn-Hausen +++ Jugendlicher,ORG,0.425,0.0,de,2,,,,,,
RTL,RTL,ORG,0.5,0.0,de,2,,,,,,
zaun­an­la­ge,zaun­an­la­ge,ORG,0.0,0.0,de,2,,,,,,
SEO,SEO,ORG,0.4125,0.125,de,2,,,,,,
ÖW,ÖW,ORG,0.7,0.0,de,2,,,,,,
We…,We…,ORG,0.7,0.0,de,2,,,,,,
Bergwacht,Bergwacht,ORG,0.0,0.0,de,2,,,,,,
Deutsche Wetterd…,Deutsche Wetterd…,ORG,0.0,0.0,de,2,,,,,,
Land,Land,ORG,0.0,0.0,de,2,,,,,,
lhe,lhe,ORG,-0.35,0.5,de,2,,,,,,
of­fen­bar,of­fen­bar,ORG,0.0,0.0,de,2,,,,,,
EU-Kommission,EU-Kommission,ORG,-0.5,0.0,de,2,,,,,,
Schneefall,Schneefall,ORG,0.0,0.0,de,1,,,,,,
Ski-Star,Ski-Star,ORG,0.0,0.0,de,1,,,,,,
Ski-Dominators,Ski-Dominators,ORG,0.0,0.0,de,1,,,,,,
sch…,sch…,ORG,0.0,0.0,de,1,,,,,,
Alpin-Auftakt,Alpin-Auftakt,ORG,0.0,0.0,de,1,,,,,,
Top Ten,Top Ten,ORG,1.0,0.0,de,1,,,,,,
Olympia,Olympia,ORG,0.0,0.0,de,1,,,,,,
Deutschen Presse-Agentur,Deutschen Presse-Agentur,ORG,0.0,0.0,de,1,,,,,,
1.000-Meter-Marke,1.000-Meter-Marke,ORG,0.0,0.0,de,1,,,,,,
"Link
","Link
",ORG,0.10000000000000002,0.0,de,1,,,,,,
Kalt & kuschlig,Kalt & kuschlig,ORG,-0.7,0.0,de,1,,,,,,
Ministerium für Infrastruktur und Digitales,Ministerium für Infrastruktur und Digitales,ORG,0.0,0.0,de,1,,,,,,
Schneemasse…,Schneemasse…,ORG,-0.7,0.0,de,1,,,,,,
TV-Sender,TV-Sender,ORG,0.0,0.0,de,1,,,,,,
Sö…,Sö…,ORG,-1.0,0.0,de,1,,,,,,
H…,H…,ORG,0.0,0.0,de,1,,,,,,
Grünen-Politikeri…,Grünen-Politikeri…,ORG,0.0,0.0,de,1,,,,,,
AfD,AfD,ORG,0.0,0.0,de,1,,,,,,
Thermometer…,Thermometer…,ORG,0.0,0.0,de,1,,,,,,
Fotostand,Fotostand,ORG,0.0,0.0,de,1,,,,,,
picture alliance,picture alliance,ORG,0.0,0.0,de,1,,,,,,
Streuwa…,Streuwa…,ORG,0.0,0.0,de,1,,,,,,
Straßenverkehrsbehörde Hessen Mobil,Straßenverkehrsbehörde Hessen Mobil,ORG,0.0,0.0,de,1,,,,,,
Zeit der Militärdiktatur,Zeit der Militärdiktatur,ORG,0.0,0.0,de,1,,,,,,
ETH-Professor,ETH-Professor,ORG,0.7,0.0,de,1,,,,,,
SRF-Studios,SRF-Studios,ORG,0.0,0.0,de,1,,,,,,
