,phrase,label,sentiment,subjectivity,language,count
Marco Odermatt,Marco Odermatt,PER,1.0,0.0,de,4.7
Björn Alexander,Björn Alexander,PER,0.0,0.0,de,3.8
Teile Deutschlands,Teile Deutschlands,PER,-1.0810810810810811,0.0,de,3.6999999999999997
Vorsicht Glatteis,Vorsicht Glatteis,PER,0.0,0.0,de,3.6999999999999997
Smillas Gespür,Smillas Gespür,PER,0.0,0.0,de,2.8
Konstantin Wecker,Konstantin Wecker,PER,0.7499999999999999,0.0,de,2.8
Wolfgang Blank,Wolfgang Blank,PER,-0.6140350877192982,0.17543859649122806,de,1.9
Herbststurm Joshua,Herbststurm Joshua,PER,-0.3684210526315789,0.0,de,1.9
schneeglatter Fahrbahn,schneeglatter Fahrbahn,PER,0.0,0.0,de,1.9
Vorsicht gebo,Vorsicht gebo,PER,0.0,0.0,de,1.9
Montagfrüh Schneeglätte,Montagfrüh Schneeglätte,PER,0.0,0.0,de,1.9
Wiens Winterdienst,Wiens Winterdienst,PER,0.3684210526315789,0.0,de,1.9
Helge Tuschy ,Helge Tuschy ,PER,-0.7368421052631579,0.0,de,1.9
Österreichs Skigebiete,Österreichs Skigebiete,PER,0.5263157894736842,0.0,de,1.9
Gavin Newsom,Gavin Newsom,PER,0.0,0.0,de,1.9
Alexander Schmid,Alexander Schmid,PER,0.5833333333333333,0.0,de,1.2000000000000002
Kirill Serebrennikovs,Kirill Serebrennikovs,PER,1.8181818181818181,0.0,de,1.1
Reto Knutti,Reto Knutti,PER,0.6363636363636362,0.0,de,1.1
Dominik Siegrist,Dominik Siegrist,PER,1.8181818181818181,0.0,de,1.1
"Sturm ""Joshua","Sturm ""Joshua",PER,-1.2727272727272725,0.0,de,1.1
Nina Chuba,Nina Chuba,PER,-0.9090909090909091,0.0,de,1.1
Björn Alexander erkl,Björn Alexander erkl,PER,-1.0,0.0,de,1.0
Thomas Wrede,Thomas Wrede,PER,0.0,0.0,de,1.0
Markus Jandl,Markus Jandl,PER,-0.175,0.0,de,1.0
et­was hö­her,et­was hö­her,PER,0.0,0.0,de,1.0
Regen k,Regen k,PER,-0.7,0.0,de,1.0
Georg Friedrichs,Georg Friedrichs,PER,0.0,0.0,de,1.0
Gerald Gröger,Gerald Gröger,PER,1.0,0.0,de,1.0
Niederösterreichs Skisaison,Niederösterreichs Skisaison,PER,0.0,0.0,de,1.0
Laura Anninger,Laura Anninger,PER,0.0,0.0,de,1.0
Erich Egger,Erich Egger,PER,0.35,0.5,de,1.0
Simon Guggi von Snowspace,Simon Guggi von Snowspace,PER,0.35,0.5,de,1.0
Rainer Buchhop,Rainer Buchhop,PER,0.0,0.0,de,1.0
Walter Kirmair,Walter Kirmair,PER,0.0,0.0,de,1.0
Wetter Bayern,Wetter Bayern,PER,0.0,0.0,de,1.0
Österreichs Rennen,Österreichs Rennen,PER,0.0,0.0,de,1.0
Filippa Coster-Waldau,Filippa Coster-Waldau,PER,0.0,1.0,de,1.0
Sturmtief „Joshua“,Sturmtief „Joshua“,PER,0.0,0.0,de,1.0
Elyas M’Barek,Elyas M’Barek,PER,0.0,1.0,de,1.0
Bille Augusts,Bille Augusts,PER,0.0,0.0,de,1.0
Peter Høegs,Peter Høegs,PER,0.0,0.0,de,1.0
Nicolas Féraud,Nicolas Féraud,PER,-0.7,0.0,de,1.0
Harry Scherz,Harry Scherz,PER,1.0,0.0,de,1.0
Leonardo DiCaprio,Leonardo DiCaprio,PER,-1.0,0.0,de,1.0
Frank Thelen,Frank Thelen,PER,1.0,0.0,de,1.0
Schnee rechnen d,Schnee rechnen d,PER,0.0,0.0,de,1.0
Maximilian Koch,Maximilian Koch,PER,0.0,0.0,de,1.0
Helmut Holzinger,Helmut Holzinger,PER,0.0,0.0,de,1.0
Martha Schulz,Martha Schulz,PER,0.7,0.0,de,1.0
Peter Schatz,Peter Schatz,PER,0.0,0.0,de,1.0
Susanne Arndt,Susanne Arndt,PER,1.0,0.0,de,1.0
Thorsten Falkes,Thorsten Falkes,PER,0.0,0.0,de,1.0
Klimatologe Karsten Brandt,Klimatologe Karsten Brandt,PER,0.0,0.0,de,1.0
Joshua ungemütliches,Joshua ungemütliches,PER,-1.0,0.0,de,1.0
Reinhard Klier,Reinhard Klier,PER,1.0,0.0,de,1.0
Sebastian Ebel,Sebastian Ebel,PER,0.7,0.0,de,1.0
Sturmtief Joshua,Sturmtief Joshua,PER,0.0,0.0,de,1.0
Hause schön,Hause schön,PER,0.85,0.0,de,1.0
Tief „Joshua,Tief „Joshua,PER,0.0,0.0,de,1.0
Goslar Wehe,Goslar Wehe,PER,0.0,0.0,de,1.0
Sturm Joshua,Sturm Joshua,PER,0.0,0.0,de,1.0
Marco Schwarz,Marco Schwarz,PER,0.85,0.0,de,1.0
Schnee schippt,Schnee schippt,PER,0.0,0.0,de,1.0
Gerhard Stranig,Gerhard Stranig,PER,0.0,0.0,de,1.0
Landtagsabgeordnete Christian Zwanziger,Landtagsabgeordnete Christian Zwanziger,PER,0.0,1.0,de,1.0
Julia Willie Hamburg,Julia Willie Hamburg,PER,0.0,1.0,de,1.0
Lara Gut-Behrami,Lara Gut-Behrami,PER,0.0,0.0,de,1.0
Christophe Jacrot,Christophe Jacrot,PER,0.7,0.0,de,1.0
Michel Ricou-Charles,Michel Ricou-Charles,PER,0.0,0.0,de,1.0
