,summary,Mitigation,Impacts,Hazard,Causes,word
summaryOfAllWords,279753.76103341754,24189.37891662321,17037.46197901517,159506.96875395876,79019.95138393222,
Erster,37.69121272900634,-0.01577807858434376,-2.676588528720951,-0.04468301323876783,0.25756696557719055,Erster
Bodenfrost,71.51221313626486,-1.3961906276452047,-3.3170297937542266,0.5211485505734275,-2.855733536618706,Bodenfrost
erst+er boden+frost,3.2384718029947814,-0.274448999714059,-0.22226309833915783,0.24692527623658966,-0.5958859827605274,erst+er boden+frost
Bayern,218.7377382429288,-1.90985060985817,-1.752924714001674,0.2008116245686449,-0.009934751772621101,Bayern
boden+frost bayern,3.228540960946611,-0.27137776722490364,-0.21919186585000264,0.24578616176598742,-0.5928147502713723,boden+frost bayern
Ist,10.96110324742029,1.0383997841128274,-1.4415144832613869,-0.07526838856892017,-0.2845007266536035,Ist
bayern sei,2.363559528564238,0.040483795529708454,0.09266969690460959,0.09957823270613722,-0.2809531875167601,bayern sei
etwa,31.936653183585467,0.3786224965843003,0.8492366148143597,-0.13406477029321184,-0.19369448215854945,etwa
sei etwa,4.0027076553922765,-0.48631849288656637,1.5550769525415657,-0.46974506739225336,0.0668422884231201,sei etwa
schon,75.33432004341316,0.15959378867322593,-0.23205105336748086,-0.0003867775931469272,-0.0075652178452861,schon
etwa schon,2.2677849849655356,0.0818489755142945,0.13403487688919552,0.07444781925584902,-0.23958800753217402,etwa schon
Zeit,22.300032204106806,0.6997609349801286,-0.18534820144183678,-0.07427816562885493,-0.13834268981729136,Zeit
schon zeit,2.2348017945451675,0.09650001147567441,0.14868591285057564,0.06513548093919999,-0.22493697157079404,schon zeit
Winterreifen,3.769877060956361,-0.4263898380237564,-0.3742039366488555,0.06715322000566457,0.03281779773737645,Winterreifen
zeit winter+reifen,2.2162135404938654,0.10485242579738628,0.15703832717228722,0.05972553534766365,-0.21658455724908232,zeit winter+reifen
Der,637.1791642159216,-0.5676812582188294,-0.7909710960113279,0.06826686200621035,0.10240852719480001,Der
Deutsche,217.10534138128423,-2.707657686883669,-2.455341987046965,0.2916817001099826,-0.2241902826110919,Deutsche
der deutsch+e,107.85277549102832,-2.0080421142174414,-2.3389175653152936,0.31866601454967336,-0.3534127596902534,der deutsch+e
Wetterdienst,323.1793417927809,-1.9930412936449722,-2.8711922329608104,0.2817924832037888,-0.20979742918319896,Wetterdienst
deutsch+e wetter+dienst,195.81999936243068,-2.682900640452389,-2.3701806927470814,0.2977112553239238,-0.24761059250687617,deutsch+e wetter+dienst
sagt,41.29110564461036,-1.1429661805424243,0.2441598854186053,0.08331278483038396,-0.026855179712373185,sagt
wetter+dienst sag+t,12.357741460423057,-1.613630152514645,-0.2213586724699054,0.1429871784894595,-0.022572923122559464,wetter+dienst sag+t
sag+t boden+frost,3.2384718029947814,-0.274448999714059,-0.22226309833915783,0.24692527623658966,-0.5958859827605274,sag+t boden+frost
voraus,15.806126362319326,-1.859745056251506,-0.5945789920236901,0.1099258025531941,0.1138113478419941,voraus
bayern voraus,2.3857994062489665,0.03111830408161185,0.08330420545651308,0.10504106082699223,-0.2903186789648565,bayern voraus
ADAC,19.108093074919523,-0.3871283018419854,-1.9972735120546286,0.1735049392086422,-0.1029610533286711,ADAC
empfiehlt,7.2176698137858235,0.0630151420260467,-1.0236937058864892,0.09046156456775849,-0.07567109643657736,empfiehlt
adac empfehl+t,3.4826342470487734,-0.3471364218951502,-0.29495052052024906,0.11641408458565693,-0.11021574558697744,adac empfehl+t
Reifenwechsel,2.1815602074822875,0.12061224075695341,0.1727981421318544,0.04931181885981978,-0.20082474228951527,Reifenwechsel
empfehl+t reifen+wechsel,2.1815602074822875,0.12061224075695341,0.1727981421318544,0.04931181885981978,-0.20082474228951527,empfehl+t reifen+wechsel
Bußgelder,5.663845521249905,0.7652362303545258,-0.7812646277754047,0.06498082966898248,-0.462842721479458,Bußgelder
Glätte,539.8595370930744,-0.9275932202995752,-3.302743321038278,0.20368769954382462,-0.06539130687311827,Glätte
buß+geld+er glätte,2.1088292476958586,0.15451961849366339,0.20670551986856434,0.025951635838388304,-0.16691736455280523,buß+geld+er glätte
möglich,113.24401642452551,-1.248078703284115,-1.1708734750911796,0.25389430499747756,-0.24391111332081214,möglich
glätte möglich,3.8261889312115187,-0.44121669759107174,-0.3890307962161705,0.0498915935817329,0.07272095663563095,glätte möglich
TTS,2.0727837831963,0.17176002646540248,0.22394592784030354,0.01354671107994987,-0.1496769565810662,TTS
Player,2.6068810412590375,-0.05750195032117512,1.235551593059583,-0.10084163283647718,-0.3789389333676436,Player
tts player,2.06764377855392,0.17424286535398592,0.22642876672888695,0.011729674372024611,-0.1471941176924825,tts player
darzustellen,2.059262908718309,0.17830444560859202,0.23049034698349324,0.008740335980817908,-0.14313253743787635,darzustellen
player dar+zu+stell+en,2.059262908718309,0.17830444560859202,0.23049034698349324,0.008740335980817908,-0.14313253743787635,player dar+zu+stell+en
brauchen,8.122950261653669,-0.0646763522565474,-1.1418549664467548,0.10423859805868023,-0.05743523044226766,brauchen
dar+zu+stell+en brauch+en,2.044480010084756,0.18550906971403522,0.23769497108893642,0.003385452800442007,-0.13592791333243334,dar+zu+stell+en brauch+en
Zustimmung,2.7790634163027192,0.8672776897024729,1.1786974974556297,-0.3180294604760727,-0.4428984002961692,Zustimmung
brauch+en zustimmung,2.0277064833258844,0.19374720991214286,0.24593311128704387,-0.002820833314229256,-0.12768977313432575,brauch+en zustimmung
externen,2.0151107614321986,0.1999783907379118,0.2521642921128128,-0.007575223109044699,-0.12145859230855684,externen
Inhalt,2.941195695347223,1.2914116671193843,-0.1259777433151703,-0.3909406861418811,-0.1379123287631097,Inhalt
extern+en inhalt,2.00917010285322,0.20293080042032563,0.25511670179522666,-0.009846241031484241,-0.11850618262614301,extern+en inhalt
aktivieren,2.004846348201732,0.20508512956992922,0.25727103094483017,-0.01151087785989497,-0.11635185347653935,aktivieren
inhalt aktivier+en,2.004846348201732,0.20508512956992922,0.25727103094483017,-0.01151087785989497,-0.11635185347653935,inhalt aktivier+en
eingebettete,1.996880256217792,0.20906646227651124,0.26125236365141224,-0.014604031379795082,-0.1123705207699573,eingebettete
aktivier+en ein+ge+bett+et+e,1.996880256217792,0.20906646227651124,0.26125236365141224,-0.014604031379795082,-0.1123705207699573,aktivier+en ein+ge+bett+et+e
Inhalte,4.8043609468594015,0.2735350769887121,-0.6166855815919844,0.06200933847351255,-0.13490293561699923,Inhalte
ein+ge+bett+et+e inhalt+e,1.9901880978731097,0.21242339726475437,0.2646092986396555,-0.01722916306815692,-0.109013585781714,ein+ge+bett+et+e inhalt+e
anzuzeigen,3.6683513232467995,0.4591867174703309,-0.34690387595573197,0.007418128770800831,-0.1395261140070586,anzuzeigen
inhalt+e an+zu+zeig+en,1.986362659768929,0.21434739598495378,0.2665332973598548,-0.018740836307723576,-0.10708958706151483,inhalt+e an+zu+zeig+en
Ihre,9.967015471502098,0.07674930181214888,-1.3464427338033709,0.148143533453076,-0.20730329234305195,Ihre
an+zu+zeig+en ihr+e,1.9792937132694195,0.2179124824784118,0.27009838385331275,-0.02155568276104264,-0.10352450056805697,an+zu+zeig+en ihr+e
jederzeit,5.403496236150897,-0.7863936421246678,-0.7342077407497668,0.06464182355466387,0.13456048936245707,jederzeit
ihr+e jederzeit,1.9772279128627914,0.21895673335812713,0.27114263473302797,-0.022383589328889387,-0.1024802496883415,ihr+e jederzeit
widerrufliche,1.9732799890481114,0.2209554257931047,0.2731413271680059,-0.023972531328970315,-0.10048155725336395,widerrufliche
jederzeit widerruflich+e,1.9732799890481114,0.2209554257931047,0.2731413271680059,-0.023972531328970315,-0.10048155725336395,jederzeit widerruflich+e
Einwilligung,1.9681269268330073,0.22357026118625029,0.27575616256115126,-0.02605993562247041,-0.09786672186021826,Einwilligung
widerruflich+e einwilligung,1.9681269268330073,0.22357026118625029,0.27575616256115126,-0.02605993562247041,-0.09786672186021826,widerruflich+e einwilligung
Schalter,1.960479280366384,0.2274635789297336,0.2796494803046345,-0.02918621282252168,-0.09397340411673495,Schalter
einwilligung schalter,1.960479280366384,0.2274635789297336,0.2796494803046345,-0.02918621282252168,-0.09397340411673495,einwilligung schalter
+2632,2.5770894348745683,-0.04600808302422698,0.0061778183506740955,0.147119495443678,-0.36744506607069544,+2632
schalter +2632,1.9553836080162994,0.23006615995547167,0.28225206133037267,-0.031288333951471785,-0.09137082309099696,schalter +2632
chars,869.3565751738244,-0.5435920832105268,-0.8159000571054513,0.16308493661339138,-0.11533923151216083,chars
+2632 char+s,2.509309741586245,-0.01935515889269094,0.03283074248221023,0.13314058686663388,-0.3407921419391595,+2632 char+s
Nasa,2.9103716653982223,-0.16762824001745316,-0.11544233864255213,-0.12471474643679616,0.26806388741960546,Nasa
Warum,44.479723285249676,0.34539051722586483,-1.2308640238317876,0.10194094572653155,-0.21105656133258108,Warum
nasa warum,2.1493798123786525,0.1354732119101503,0.18765911328505147,-0.17330619043009632,0.20886311423773016,nasa warum
Erde,4.406206755461936,-0.5823616200884799,-0.5301757187135787,-0.051221246267549425,0.281140866900852,Erde
warum erde,2.1761869038488544,0.12307833446058265,0.17526423583548376,-0.18123609376363362,0.22570444856756397,warum erde
immer,73.15669578786002,-1.1999608518773837,0.15476824501201472,0.1322751751045733,-0.11389427560951833,immer
erde immer,2.1923136829332037,0.11569509070319464,0.16788099207809576,-0.1862800594241247,0.23595260583978941,erde immer
dunkler,2.562983795575131,-0.040519571839045296,0.011666329535855793,-0.1464937525688691,0.25052007798557385,dunkler
immer dunkel+er,2.2150405079673616,0.10538186172729476,0.15756776310219583,-0.1936848489823876,0.2504612467412946,immer dunkel+er
Klimawandel,44.08367377037845,-2.885436951541401,0.03156554280475411,-0.48408703832016087,0.721111329802307,Klimawandel
dunkel+er klima+wandel,2.800298795611424,-0.12907357112757473,-0.07688766975267373,-0.4085322812438302,0.5481219052548016,dunkel+er klima+wandel
tun,15.141812146864137,0.13158031773137763,0.06981987311498003,-0.10365317477562934,0.1311258336598857,tun
klima+wandel tu+n,3.932653008788065,-0.4686617108975415,1.4179655426450486,-0.7379705566903149,0.4011090171182547,klima+wandel tu+n
Messungen,2.309845811112453,0.06347177920879349,0.11565768058369469,-0.19987083130644734,0.2770213202493263,Messungen
tu+n messung+en,2.309845811112453,0.06347177920879349,0.11565768058369469,-0.19987083130644734,0.2770213202493263,tu+n messung+en
zeigen,26.70882140360769,-2.3843413474092388,-0.15218616170849758,0.0494796361389338,0.1872730993963443,zeigen
messung+en zeig+en,2.269230993821195,0.08121154822226741,0.1333974495971686,-0.17403612140923702,0.23567785583664216,messung+en zeig+en
Die,457.2889061551189,-0.23837245278861202,-0.07085694116225859,0.09897866937285311,-0.1396572105702722,Die
zeig+en der,2.249650153347289,0.08987783635284727,0.1420637377277483,-0.158308437136135,0.21013535148944223,zeig+en der
der erde,2.534814957867126,-0.02946808637612466,0.02271781499877653,-0.1349146349752174,0.23007706932383631,der erde
strahlt,4.4358104985942095,-0.5890577965147173,0.5930726328182727,-0.0761739071300244,0.10415749179757074,strahlt
erde strahl+t,2.2358827256580667,0.09601644743572577,0.14820234881062702,-0.14350115892737772,0.18610566628449413,erde strahl+t
weniger,26.095214938668402,-0.32504400999290683,0.38021990233866504,0.050392821536092126,-0.12683529252321027,weniger
strahl+t wenig+er,2.2288639466740077,0.09916053836901548,0.1513464397439166,-0.1319025990226993,0.16746188923485636,strahl+t wenig+er
Sonnenlicht,2.225687351237651,0.10058676326233311,0.15277266463723407,-0.12119403561116696,0.15049818501174864,Sonnenlicht
wenig+er sonne+n+licht,2.225687351237651,0.10058676326233311,0.15277266463723407,-0.12119403561116696,0.15049818501174864,wenig+er sonne+n+licht
zurück,49.14167619890402,-2.1782497685962054,-1.2321810444157726,0.1494593307372888,0.09419427902797713,zurück
sonne+n+licht zurück,2.227031496637217,0.0999830218242063,0.15216892319910744,-0.10598476687695368,0.12695372269933916,sonne+n+licht zurück
All,2.519854360636081,-0.023548553376296487,0.028637347998604464,-0.0732367152972174,0.13401515468658537,All
zurück all,2.2430429241979857,0.09281916076505879,0.14500506213995987,-0.09612563127938009,0.11474098662977956,zurück all
Hauptgründe,2.2593497237900855,0.08557551403363765,0.13776141540853873,-0.09462475511852342,0.11605011435543086,Hauptgründe
haupt+grund+e wenig+er,2.328359232659798,0.05548872555208751,0.10767462692698866,-0.08850219742155352,0.12132562687148517,haupt+grund+e wenig+er
Wolken,58.52052176138896,-3.1687249389835386,-3.1165390376086375,0.20338449924800192,0.04308271077600388,Wolken
wenig+er wolke+n,2.3711993506421,0.037256670810974724,0.08944257218587574,-0.084877561973076,0.12439918498652057,wenig+er wolke+n
Ozeanen,2.492688818531299,-0.012709421582612927,0.03947647979228834,-0.07526266395355846,0.1323699634313871,Ozeanen
wolke+n ozean+en,2.492688818531299,-0.012709421582612927,0.03947647979228834,-0.07526266395355846,0.1323699634313871,wolke+n ozean+en
sowie,34.44463694929799,-0.8435944307672203,-0.2747266669739749,0.1288251280584483,-0.05266663497885794,sowie
ozean+en sowie,2.585407376509755,-0.049230534925706476,0.0029553664491945722,-0.06851886126984412,0.13779917692991947,ozean+en sowie
schwindendes,2.6817520455577344,-0.08581777618629262,-0.03363187481139165,-0.06199240611879758,0.1429233391585293,schwindendes
sowie schwind+end+es,2.6817520455577344,-0.08581777618629262,-0.03363187481139165,-0.06199240611879758,0.1429233391585293,sowie schwind+end+es
Eis,305.77430269625313,-0.12667026018557456,-4.7700088024701595,0.09556298345767274,0.04667725531067578,Eis
schwind+end+es eis,3.092879190071353,-0.22844988071876302,-0.17626397934386204,-0.03857717407427467,0.16020412489984046,schwind+end+es eis
Schnee,4120.816053351159,-2.134960804967889,-2.807464120077929,0.15669251178489602,0.12230069879362959,Schnee
eis schnee,175.62712167787632,-0.7041094121269518,-4.215524666289707,0.11505722199662234,0.11423406558619043,eis schnee
besonders,69.43699763470143,-0.6457395389298533,-0.6239172830892579,0.20145267731585778,-0.22915572992631986,besonders
schnee besonders,3.0410142717068287,-0.2115385487022853,-0.15935264732738424,-0.041194517197107615,0.15836141445499466,schnee besonders
Nordhalbkugel,2.585407376509755,-0.049230534925706476,0.0029553664491945722,-0.06851886126984412,0.13779917692991947,Nordhalbkugel
besonders nordhalbkugel,2.585407376509755,-0.049230534925706476,0.0029553664491945722,-0.06851886126984412,0.13779917692991947,besonders nordhalbkugel
Effekt,3.26812196279659,-0.28356294354001266,-0.23137704216511165,0.13576936534725328,-0.19045520224623722,Effekt
nordhalbkugel effekt,2.3833676613170947,0.03213808179464296,0.084323983169544,-0.08387132520009406,0.12524582308841814,nordhalbkugel effekt
deutlich,40.80315661840631,0.5755201047668389,0.23187052528264288,-0.0039895434301087385,-0.3374379833817198,deutlich
effekt deutlich,2.3434361732259705,0.04903425073088215,0.10122015210578343,-0.08721173457222581,0.12242415305846224,effekt deutlich
sichtbar,2.8722621787273144,-0.15444738179864287,-0.10226148042374164,-0.050338323003491246,0.15174522999677978,sichtbar
deutlich sicht+bar,2.3011575884615323,0.06724025742497454,0.11942615879987573,-0.09087243395111932,0.11929572562462978,deutlich sicht+bar
Eine,68.35423060087874,-0.32357151271360973,-0.6142457558331126,-0.1600935228429443,0.393524539877094,Eine
aktuelle,15.16844656379979,-1.8185648331795146,0.31937434275214943,0.009592715583919812,0.14484800361265968,aktuelle
ein aktuell+e,3.307314681482222,-0.29548403257251826,1.2428611715454687,-0.23487004102523898,-0.031218243855099602,ein aktuell+e
Nasa-Studie,2.716485752920588,-0.0986864892716682,-0.04650058789676698,-0.05974977509692496,0.14465401932455943,Nasa-Studie
aktuell+e nasa+-+studie,2.716485752920588,-0.0986864892716682,-0.04650058789676698,-0.05974977509692496,0.14465401932455943,aktuell+e nasa+-+studie
