index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-03/01/spargel-wohl-ab-mitte-maerz-kein-superfrueher-start,https://www.zeit.de/news/2025-03/01/spargel-wohl-ab-mitte-maerz-kein-superfrueher-start,0,www.zeit.de,"Ernte: Spargel wohl ab Mitte März - ""kein superfrüher Start""","Hier finden Sie Informationen zu dem Thema „Ernte“. Lesen Sie jetzt „Spargel wohl ab Mitte März - ""kein superfrüher Start""“.",https://img.zeit.de/news/2025-03/01/spargel-wohl-ab-mitte-maerz-kein-superfrueher-start-image-group/wide__1300x731,2025-03-01T03:00:44Z,,"Spargel aus Baden-Württemberg wird es in diesem Jahr verbreitet wohl frühestens Mitte März geben. Der Winter sei so kalt wie 2017 nicht mehr, die Böden entsprechend gut gefroren gewesen, sagte Simon … [+1800 chars]",,de,'Ernte'
https://www.bild.de/leben-wissen/medizin/sport-im-winter-ist-es-gesund-im-winter-zu-joggen-6756a8cf127cdf4f3830ab5c,https://www.bild.de/leben-wissen/medizin/sport-im-winter-ist-es-gesund-im-winter-zu-joggen-6756a8cf127cdf4f3830ab5c,0,www.bild.de,Sport im Winter - Wie gesund ist Joggen zur kalten Jahreszeit?,Zur kalten Jahreszeit ist Bewegung wichtiger denn je. Doch wann ist es zu kalt dafür und wie geht man im Winter joggen? Alle Infos dazu erfahren Sie hier.,"https://images.bild.de/6756a8cf127cdf4f3830ab5c/2dcbdc51d500a48d8970eb2847b0507d,16edc094?w=1280",2025-03-01T03:14:13Z,,"Fit durch die kalte Jahreszeit: Bewegung wird gerade im Winter besonders wichtig!
Mit den fallenden Temperaturen fällt es vielen schwer, ihre gewohnten sportlichen Aktivitäten aufrechtzuerhalten und… [+5847 chars]",,de,'Winter'
https://www.zeit.de/news/2025-03/01/inspiriert-vom-echten-leben-erzgebirgskrimi-wintermord,https://www.zeit.de/news/2025-03/01/inspiriert-vom-echten-leben-erzgebirgskrimi-wintermord,0,www.zeit.de,"Fernsehen: Inspiriert vom echten Leben: Erzgebirgskrimi ""Wintermord""","Hier finden Sie Informationen zu dem Thema „Fernsehen“. Lesen Sie jetzt „Inspiriert vom echten Leben: Erzgebirgskrimi ""Wintermord""“.",https://img.zeit.de/news/2025-03/01/inspiriert-vom-echten-leben-erzgebirgskrimi-wintermord-image-group/wide__1300x731,2025-03-01T04:44:37Z,,"Ein Investor möchte mit einem Großprojekt den Ski-Tourismus im Erzgebirge beflügeln. Während die einen das große Geschäft wittern, sorgen sich andere um die Natur und lehnen die Pläne mit Blick auf d… [+3406 chars]",,de,'Winter'
https://www.tagesspiegel.de/berlin/vor-der-spargel-saison-spargel-ernte-in-brandenburg-ab-ende-marz-erwartet-13296277.html,https://www.tagesspiegel.de/berlin/vor-der-spargel-saison-spargel-ernte-in-brandenburg-ab-ende-marz-erwartet-13296277.html,0,www.tagesspiegel.de,Vor der Spargel-Saison: Spargel-Ernte in Brandenburg ab Ende März erwartet,Kommen erste Spargelstangen schon Ende März auf den Teller? Brandenburgs Bauern rechnen mit einer frühen Ernte des Gemüses und wollen die Preise stabil halten.,https://www.tagesspiegel.de/images/13296274/alternates/BASE_16_9_W1400/1740804434000/spargelanbau-auf-den-feldern-des-syring-hofes.jpeg,2025-03-01T04:47:14Z,https://web.archive.org/web/20250303212030/https://www.tagesspiegel.de/berlin/vor-der-spargel-saison-spargel-ernte-in-brandenburg-ab-ende-marz-erwartet-13296277.html,Erster Spargel schon in vier Wochen? Brandenburgs Landwirte rechnen angesichts milder Temperaturen mit einer frühen Ernte Ende März. Die Vorbereitungen für die Spargel-Saison sind auf den Feldern ber… [+2440 chars],,de,'Ernte'
https://www.stern.de/gesellschaft/regional/sachsen/wetter--wetter-beeinflusst-pollenflug---belastung-bisher-maessig-35509684.html,https://www.stern.de/gesellschaft/regional/sachsen/wetter--wetter-beeinflusst-pollenflug---belastung-bisher-maessig-35509684.html,0,www.stern.de,Wetter: Wetter beeinflusst Pollenflug – Belastung bisher mäßig,"Verstopfte Nase und dicke Augen: Für Allergiker hat die Leidenszeit begonnen. In Sachsen, Sachsen-Anhalt und Thüringen fliegen bereits die ersten Pollen, wenn auch noch verhalten.",https://image.stern.de/35509686/t/53/v1/w1440/r1.7778/-/01--rcvdmqcbygv8axs2048jpeg---cba0aa19935e2dd0.jpg,2025-03-01T06:00:41Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Verstopfte Nase und dicke Augen: Für Allergiker hat die Leidenszeit begonnen. In Sachsen, Sachsen-Anhalt und Thüringen fliegen bereits die ersten… [+2093 chars]",,de,'Pollen'
https://www.zeit.de/news/2025-03/01/wetter-beeinflusst-pollenflug-belastung-bisher-maessig,https://www.zeit.de/news/2025-03/01/wetter-beeinflusst-pollenflug-belastung-bisher-maessig,0,www.zeit.de,Wetter: Wetter beeinflusst Pollenflug – Belastung bisher mäßig,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Wetter beeinflusst Pollenflug – Belastung bisher mäßig“.,https://img.zeit.de/news/2025-03/01/wetter-beeinflusst-pollenflug-belastung-bisher-maessig-image-group/wide__1300x731,2025-03-01T06:00:41Z,,"Niesattacken, juckende Augen und laufende Nase: Die Heuschnupfensaison hat in Sachsen, Sachsen-Anhalt und Thüringen begonnen. Allerdings ist die Belastung aufgrund des wechselhaften Wetters bislang e… [+1898 chars]",,de,'Hasel'
https://steiermark.orf.at/stories/3295172/,https://steiermark.orf.at/stories/3295172/,0,steiermark.orf.at,Regen war Segen für die Landwirtschaft,Laut Geosphere Austria ist in diesem Winter in der Steiermark bis zu 50 Prozent weniger Niederschlag gefallen als üblich. Auf den steirischen Äckern und Feldern beginnt jetzt die Arbeit. Die Landwirtschaft spricht trotz langer Trockenheit dank des Regens dies…,https://ibs.orf.at/stm?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2024%2F31%2F72%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F2295842_master_874072_traktorreifen2.jpg%3Fs%3D6a56dddd20bc982ca8ceae666eb4ea5cffe87b8a,2025-03-01T06:30:00Z,,"Nach dem wärmsten Jahr seit Messbeginn ist auch der Winter 2024/25 wieder deutlich zu mild ausgefallen. Es gab zwar nur wenige Rekorde, die Temperaturen lagen aber trotzdem weit über dem langjährigen… [+2248 chars]",,de,'Schnee'
https://www.zeit.de/news/2025-03/01/wackelkontakt-der-winter-partyhit-kommt-vom-tegernsee,https://www.zeit.de/news/2025-03/01/wackelkontakt-der-winter-partyhit-kommt-vom-tegernsee,0,www.zeit.de,"Après-Ski: ""Wackelkontakt"": Der Winter-Partyhit kommt vom Tegernsee","Hier finden Sie Informationen zu dem Thema „Après-Ski“. Lesen Sie jetzt „""Wackelkontakt"": Der Winter-Partyhit kommt vom Tegernsee“.",https://img.zeit.de/news/2025-03/01/wackelkontakt-der-winter-partyhit-kommt-vom-tegernsee-image-group/wide__1300x731,2025-03-01T07:00:37Z,https://web.archive.org/web/20250306052316/https://www.zeit.de/news/2025-03/01/wackelkontakt-der-winter-partyhit-kommt-vom-tegernsee,Ein Liedermacher aus Oberbayern hat die Spitze der deutschen Singlecharts erobert: Oimara vom Tegernsee - bürgerlicher Name Beni Hafner - dominiert mit seinem Song «Wackelkontakt» derzeit Faschingspa… [+3197 chars],,de,'Winter'
https://www.focus.de/wissen/einfach-besser-leben/fruehling-floristen-trick-mit-zwei-hausmitteln-haelt-tulpen-lange-frisch_8989a2ab-1425-4aa5-85d6-f3db77702012.html,https://www.focus.de/wissen/einfach-besser-leben/fruehling-floristen-trick-mit-zwei-hausmitteln-haelt-tulpen-lange-frisch_8989a2ab-1425-4aa5-85d6-f3db77702012.html,0,www.focus.de,Frühling - Floristen-Trick mit zwei Hausmitteln hält Tulpen lange frisch,Tulpen gerade gekauft und schon verblüht? Das muss nicht sein! Mit diesem geheimen Floristen-Trick bleiben Tulpen besonders lange frisch.,https://quadro.burda-forward.de/ctf/f2bf1713-e5c6-46c7-8afd-b46ade807db3.05c26ec5-849d-4dd6-bd87-3e1245247efd.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%28266%2C145%29&hash=7347698928c021296b53b2dfcbf503e2472707275f223ecba021f73595530512,2025-03-01T09:35:00Z,https://web.archive.org/web/20250304043832/https://www.focus.de/wissen/einfach-besser-leben/fruehling-floristen-trick-mit-zwei-hausmitteln-haelt-tulpen-lange-frisch_8989a2ab-1425-4aa5-85d6-f3db77702012.html,"Ein Strauß Tulpen holt den Frühling in unsere Wohnung. Die fröhliche Farbtupfer bringt gute Laune zum Anschauen und erhellt jeden Raum. Umso enttäuschter sind wir, wenn die Blumen schon nach kürzeste… [+2647 chars]",,de,'Frühling'
https://www.faz.net/aktuell/feuilleton/kolumnen/rezept-winterkohl-virtuos-zubereitet-von-zwei-spitzenkoechen-110324317.html,https://www.faz.net/aktuell/feuilleton/kolumnen/rezept-winterkohl-virtuos-zubereitet-von-zwei-spitzenkoechen-110324317.html,0,www.faz.net,"Rezept: Winterkohl, virtuos zubereitet von zwei Spitzenköchen","Wintergemüse ist nicht trostlos, sondern eine ganz eigene, ganz wunderbare Geschmackswelt. Das beweisen die Nürnberger Spitzenköche Andree Köthe und Yves Ollech virtuos mit ihrer Variation vom Kohl.",https://media1.faz.net/ppmedia/aktuell/3159931969/1.10324931/facebook_teaser/keine-abstrakte-kunst-sondern.jpg,2025-03-01T10:06:35Z,https://web.archive.org/web/20250301103007/https://www.faz.net/aktuell/feuilleton/kolumnen/rezept-winterkohl-virtuos-zubereitet-von-zwei-spitzenkoechen-110324317.html,"Als Hauptgericht hat es nur Gemüse gegeben, Wirsing-Koteletts. Mit dieser bitteren Klage lässt Thomas Mann seine Erzählung Unordnung und frühes Leid über die Verstrickungen einer Gelehrtenfamilie aus… [+5403 chars]",,de,'Winter'
